NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Зальцмана;10;32966;;ВСКМ (г.Москва);088113;03.07.2008;2145           
Калининский район;71195;"ООО ""ДЕЗ Калининского района""";Каслинская;97В;30417;;ВСКМ (г.Москва);010607;14.09.2007;01352          
Центральный район;71117;"ООО Фирма ""Уют-Сервис""";Володарского;52А;29352;;ЕТК (Minol) (Германия);30743357;18.02.2008;1капля         
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Победы;215;у30011;;ВМХ (г.Москва);9897358;14.06.2007;01254          
Курчатовский район;71010;"ООО ""Агентство ""Вертикаль""";Салавата Юлаева;12;29923;;Minomess (Minol) (Германия);0604002445;21.02.2008;14268          
Советский район;71156;"ТСЖ ""ЭНЕРГИЯ""";Российская;275;31670;;ВМХ (г.Москва);070083787;04.04.2008;01573          
Курчатовский район;71119;"ООО ""Эко-Дом""";Пионерская;7Б;31736;;СВМ (Бетар) (г.Чистополь);01747;12.03.2008;1 капля        
Курчатовский район;71214;"ООО УК ""Форт""";Звенигородская;64;29926;;ВМХ (г.Москва);9897299;08.10.2007;01486          
Центральный район;71066;"ООО ""Содружество""";Свердловский;48;3997;;МТК / MTW (Zenner) (Германия);07467483;22.05.2008;4              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Елькина;94;1100;;МТК / MTW (Zenner) (Германия);07467471;20.04.2012;05527          
Ленинский район;71010;"ООО ""Агентство ""Вертикаль""";Барбюса;20;33642;;ВМХ (г.Москва);080069042;06.07.2009;3075           
Центральный район;71047;"ООО ""Квартал""";Сони Кривой;49Б;12601;;СКБ (г.Москва);09868;19.06.2008;02131          
Калининский район;71045;"ООО ЖЭУ ""Сервис""";Калинина(Калининский);5Б;10263;;ВМХ (г.Москва);8021849;02.10.2006;00429          
Калининский район;71045;"ООО ЖЭУ ""Сервис""";Набережная;9;12972;;МТК / MTW (Zenner) (Германия);06041369;02.10.2006;00475          
Центральный район;71033;"ООО ЖКХ ""УЮТ""";Энгельса;43А;3999;;СВМ (Бетар) (г.Чистополь);008641;13.05.2010;4              
Калининский район;71066;"ООО ""Содружество""";Калинина(Калининский);18;2172;;МТК / MTW (Zenner) (Германия);07467472;01.10.2008;4              
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;63;20479;;ВМХ (г.Москва);9186416;02.06.2009;4              
Курчатовский район;71105;"ООО УК ""Урал-Сити""";Куйбышева;11;717;;ВСКМ (г.Москва);036397;04.08.2009;02600          
Металлургический район;71093;"Общество с ограниченной ответственностью УК ""Инициатива""";Лазурная;6А;35471;подвал ж/д хвс;МТК / MTW  (Zenner) (Германия);0502029;18.03.2010;01951          
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Трашутина;11;34507;;ВСКМ (г.Москва);157617;11.06.2009;6982           
Ленинский район;71064;"Общество с ограниченной ответственностью ""Ремонт и обслуживание""";Новороссийская;130Б;35944;;Minomess (Minol) (Германия);0904000229;11.12.2009;02215          
Центральный район;71119;"ООО ""Эко-Дом""";Энтузиастов;29А;34633;;МТК / MTW (Zenner) (Германия);08533661;05.05.2009;7175069        
Курчатовский район;71010;"ООО ""Агентство ""Вертикаль""";Звенигородская;58;33122;;ВМХ (г.Москва);080044396;21.10.2008;14319          
Курчатовский район;71010;"ООО ""Агентство ""Вертикаль""";Салавата Юлаева;8;29922;;СТВ/ СТВХ (СТВГ) (азербайжан);033430;18.09.2008;02588          
Ленинский район;71029;"ООО ""ЖК Центрального района""";Батумская;3;19884;;ВСКМ (г.Москва);394736;04.06.2010;7175134        
Ленинский район;71018;"ООО ""УК СПРАВЕДЛИВОЕ ЖКХ""";Руставели;25А;16984;;МТК  / MTW (Zenner) (Германия);08540018;06.05.2010;8666           
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;63;20477;;МТК  / MTW (Zenner) (Германия);01458962;02.06.2009;4              
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;63;20478;;МТК  / MTW (Zenner) (Германия);01458963;02.06.2009;4              
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Победы;215;29379;;ВМХ (г.Москва);9897358;11.10.2012;01254          
Советский район;71072;"ООО ""УК ""Альфа""";Елькина;110;31272;;ЕТК (Minol) (Германия);0606000579;04.10.2013;01022          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Курчатова;22;35031;;Minomess (Minol) (Германия);0811002573;20.07.2009;04249          
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Бурденюка;25;20160;;СТВ/ СТВХ (СТВГ) (азербайжан);952854-07;20.01.2011;4              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Троицкий;13А;4752;;СКБ (г.Москва);1-58313;14.09.2010;3127713        
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Бурденюка;16;20163;;ВМХ (г.Москва);090069441;20.01.2011;4              
Курчатовский район;71074;"ООО ""УК ""Городок ЧВВАКУШ""";Героя России Молодова;22;20155;;ВМХ (г.Москва);090091932;08.12.2010;02237          
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;71;31311;;ВМХ (г.Москва);9728209;01.01.2008;4              
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;63;20476;;ВМХ (г.Москва);9423047;02.06.2009;4              
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Шуменская;33;31313;;МТК / MTW (Zenner) (Германия);06041373;01.01.2008;00654          
